HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	esteiraPlantas.ihmCilTravaAvanca	BOOL			TRUE	RW	
	esteiraPlantas.iniciaTrocaBdj	BOOL			TRUE	RW	
	esteiraPlantas.FimTrocaBdj	BOOL			TRUE	RW	
	robo.sensorIndireto	BOOL			TRUE	RW	
	robo.sensorFimBandeja	BOOL			TRUE	RW	
	robo.sensorInicioBandeja	BOOL			TRUE	RW	
	robo.fimTrabFileira	BOOL			TRUE	RW	
	robo.tempoFileira	BOOL			TRUE	RW	
	robo.tempoPlantio	BOOL			TRUE	RW	
	robo.posInicial	BOOL			TRUE	RW	
	robo.garraFechada	BOOL			TRUE	RW	
	robo.garraGiro0	BOOL			TRUE	RW	
	robo.roboHabilitado	BOOL			TRUE	RW	
	robo.faultFlag	BOOL			TRUE	RW	
	robo.eStopOpen	BOOL			TRUE	RW	
	robo.emergenciaPainel	BOOL			TRUE	RW	
	robo.executProg	BOOL			TRUE	RW	
	robo.executPick	BOOL			TRUE	RW	
	robo.executPlace	BOOL			TRUE	RW	
	robo.iHeartBeat	BOOL			TRUE	RW	
	robo.runEsteiraPlant	BOOL			TRUE	RW	
	robo.errorCode	INT			TRUE	RW	
	robo.posX	INT			TRUE	RW	
	robo.posY	INT			TRUE	RW	
	robo.posZ	INT			TRUE	RW	
	robo.posRoll	INT			TRUE	RW	
	robo.startProg	BOOL			TRUE	RW	
	robo.habilitaRobo	BOOL			TRUE	RW	
	robo.resetContador	BOOL			TRUE	RW	
	robo.forceStop	BOOL			TRUE	RW	
	robo.resetFalhas	BOOL			TRUE	RW	
	robo.oHeartBeat	BOOL			TRUE	RW	
	robo.velRobotSpeed	INT			TRUE	RW	
	robo.selecProg	INT			TRUE	RW	
	robo.iniciaTrab	BOOL			TRUE	RW	
	robo.fimTrab	BOOL			TRUE	RW	
	robo.passo	INT			TRUE	RW	
	robo.liberaPega	BOOL			TRUE	RW	
	robo.solicitaTrocaBandeja	BOOL			TRUE	RW	
	irrigacao.ligaIrrigacao1	BOOL			TRUE	RW	
	irrigacao.ligaIrrigacao2	BOOL			TRUE	RW	
	irrigacao.ligaIrrigacao3	BOOL			TRUE	RW	
	irrigacao.ligaAlivio1	BOOL			TRUE	RW	
	irrigacao.ligaAlivio2	BOOL			TRUE	RW	
	irrigacao.ligaAlivio3	BOOL			TRUE	RW	
	irrigacao.sensorIrrigaAposPlantio	BOOL			TRUE	RW	
	irrigacao.sensorIrrigaAntesPlantio	BOOL			TRUE	RW	
	irrigacao.iniciaTrab	BOOL			TRUE	RW	
	irrigacao.fimTrab	BOOL			TRUE	RW	
	seg.emergencia.reset	BOOL			TRUE	RW	
	seg.emergencia.ledReset	BOOL			TRUE	RW	
	seg.emergencia.Ok	BOOL			TRUE	RW	
	seg.cortinaLuzEntrada.reset	BOOL			TRUE	RW	
	seg.cortinaLuzEntrada.ledReset	BOOL			TRUE	RW	
	seg.cortinaLuzEntrada.Ok	BOOL			TRUE	RW	
	seg.cortinaLuzSaida.reset	BOOL			TRUE	RW	
	seg.cortinaLuzSaida.ledReset	BOOL			TRUE	RW	
	seg.cortinaLuzSaida.Ok	BOOL			TRUE	RW	
	seg.portaMisturador.reset	BOOL			TRUE	RW	
	seg.portaMisturador.ledReset	BOOL			TRUE	RW	
	seg.portaMisturador.solicitaAcesso	BOOL			TRUE	RW	
	seg.portaMisturador.ledAcesso	BOOL			TRUE	RW	
	seg.portaMisturador.Ok	BOOL			TRUE	RW	
	seg.portaTraseira.reset	BOOL			TRUE	RW	
	seg.portaTraseira.ledReset	BOOL			TRUE	RW	
	seg.portaTraseira.solicitaAcesso	BOOL			TRUE	RW	
	seg.portaTraseira.ledAcesso	BOOL			TRUE	RW	
	seg.portaTraseira.Ok	BOOL			TRUE	RW	
	seg.portaTraseira.liberaAcesso	BOOL			TRUE	RW	
	seg.portaTraseira.acessoSolicitado	BOOL			TRUE	RW	
	seg.portaFrontal.reset	BOOL			TRUE	RW	
	seg.portaFrontal.ledReset	BOOL			TRUE	RW	
	seg.portaFrontal.solicitaAcesso	BOOL			TRUE	RW	
	seg.portaFrontal.ledAcesso	BOOL			TRUE	RW	
	seg.portaFrontal.Ok	BOOL			TRUE	RW	
	seg.portaFrontal.liberaAcesso	BOOL			TRUE	RW	
	seg.portaFrontal.acessoSolicitado	BOOL			TRUE	RW	
	seg.segurancaOk	BOOL			TRUE	RW	
	seg.cortinaDeLuzOk	BOOL			TRUE	RW	
	ihm.tempo1fileira	TIME			TRUE	RW	
	ihm.tempo1plantio	TIME			TRUE	RW	
	ihm.horaIniciaT1	INT			TRUE	RW	
	ihm.horaIniciaT2	INT			TRUE	RW	
	ihm.horaIniciaT3	INT			TRUE	RW	
	ihm.minIniciaTurnos	INT			TRUE	RW	
	ihm.qtdEstaquiadaHora	INT			TRUE	RW	
	ihm.totalT1	INT			TRUE	RW	
	ihm.totalT2	INT			TRUE	RW	
	ihm.totalT3	INT			TRUE	RW	
	ihm.estaquiada.qtdHora	INT			TRUE	RW	
	ihm.estaquiada.totalT1	INT			TRUE	RW	
	ihm.estaquiada.totalT2	INT			TRUE	RW	
	ihm.estaquiada.totalT3	INT			TRUE	RW	
	ihm.estaquiada.totalDia	INT			TRUE	RW	
	ihm.estaquiada.contHH	INT[0..24]			TRUE	RW	
	ihm.qtdFileiraBandeja	INT			TRUE	RW	
	ihm.velRobotMonitor	INT			TRUE	RW	
	ihm.offsetPick	INT			TRUE	RW	
	ihm.tempoComecaIrrigar	INT			TRUE	RW	
	ihm.tempoIrrigando	INT			TRUE	RW	
	ihmNr.zeraContadorProducao	BOOL			TRUE	RW	
	ihmNr.dryRun	BOOL			TRUE	RW	
	ihmNr.esvaziarLinha	BOOL			TRUE	RW	
	ihmNr.clone	INT			TRUE	RW	
	ihmNr.botaoLogin	BOOL			TRUE	RW	
	ihmNr.botaoLogout	BOOL			TRUE	RW	
	ihmNr.UserST	STRING(256)			TRUE	RW	
	ihmNr.senhaST	STRING(256)			TRUE	RW	
	ihmNr.temperatura	INT			TRUE	RW	
	ihmNr.umidade	INT			TRUE	RW	
	ihmNr.pressaoAT	INT			TRUE	RW	
	ihmNr.userLogado	STRING(256)			TRUE	RW	
	ihmNr.nivelAcesso	INT			TRUE	RW	
	ihmNr.msgLogin	STRING(60)			TRUE	RW	
	ihmNr.reset	BOOL			TRUE	RW	
	ihmNr.zeraPasso	BOOL			TRUE	RW	
	Hora	INT			TRUE	RW	
	Minuto	INT			TRUE	RW	
	Segundos	INT			TRUE	RW	
	Users[1].name	STRING(256)			TRUE	RW	
	Users[2].name	STRING(256)			TRUE	RW	
	Users[3].name	STRING(256)			TRUE	RW	
	Users[4].name	STRING(256)			TRUE	RW	
	Users[5].name	STRING(256)			TRUE	RW	
	Users[6].name	STRING(256)			TRUE	RW	
	Users[7].name	STRING(256)			TRUE	RW	
	Users[8].name	STRING(256)			TRUE	RW	
	Users[9].name	STRING(256)			TRUE	RW	
	Users[10].name	STRING(256)			TRUE	RW	
	Users[1].acces	INT			TRUE	RW	
	Users[2].acces	INT			TRUE	RW	
	Users[3].acces	INT			TRUE	RW	
	Users[4].acces	INT			TRUE	RW	
	Users[5].acces	INT			TRUE	RW	
	Users[6].acces	INT			TRUE	RW	
	Users[7].acces	INT			TRUE	RW	
	Users[8].acces	INT			TRUE	RW	
	Users[9].acces	INT			TRUE	RW	
	Users[10].acces	INT			TRUE	RW	
	Users[1].senha	STRING(10)			TRUE	RW	
	Users[2].senha	STRING(10)			TRUE	RW	
	Users[3].senha	STRING(10)			TRUE	RW	
	Users[4].senha	STRING(10)			TRUE	RW	
	Users[5].senha	STRING(10)			TRUE	RW	
	Users[6].senha	STRING(10)			TRUE	RW	
	Users[7].senha	STRING(10)			TRUE	RW	
	Users[8].senha	STRING(10)			TRUE	RW	
	Users[9].senha	STRING(10)			TRUE	RW	
	Users[10].senha	STRING(10)			TRUE	RW	
	Users[1].cad	BOOL			TRUE	RW	
	Users[2].cad	BOOL			TRUE	RW	
	Users[3].cad	BOOL			TRUE	RW	
	Users[4].cad	BOOL			TRUE	RW	
	Users[5].cad	BOOL			TRUE	RW	
	Users[6].cad	BOOL			TRUE	RW	
	Users[7].cad	BOOL			TRUE	RW	
	Users[8].cad	BOOL			TRUE	RW	
	Users[9].cad	BOOL			TRUE	RW	
	Users[10].cad	BOOL			TRUE	RW	
	Habilita_Automatico	BOOL			TRUE	RW	
	Habilita_Manual	BOOL			TRUE	RW	
	iniciaCicloAuto	BOOL			TRUE	RW	
	esvaziarLinha	BOOL		Esvaziamento de linha ativo	TRUE	RW	
	DryRun	BOOL			TRUE	RW	
	stepMain	INT		Step principal	TRUE	RW	
	resetGeral	BOOL			TRUE	RW	
	acesOP	BOOL			TRUE	RW	
	acesADM	BOOL			TRUE	RW	
	acesMAN	BOOL			TRUE	RW	
	fileira	INT[1..20]			TRUE	RW	
	nFil	INT			TRUE	RW	
